Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Player,PlayerID
1,169,2,Mar 29,NYY,,MIL,,,,99,4.2,7,6,2,2,4,0,2,3.86,3.96,29,94,56,17,9,12,9,6,1,0,36,,,1,0,0,25,1,0,0,0,0,4,0.69,-0.108,0.63,,-3.76,7.9,20,,,Max Fried*,friedma01
2,170,7,Apr 4,NYY,@,PIT,,,,5,5.2,6,1,1,1,6,1,0,2.61,3.88,23,98,62,17,9,6,10,5,0,0,58,,,1,1,1,22,0,0,0,0,0,0,0.74,0.126,0.72,,1.83,22.55,38,,,Max Fried*,friedma01
3,171,12,Apr 9,NYY,@,DET,,,,4,7,5,0,0,0,11,0,0,1.56,2.3,26,97,66,21,12,9,6,1,0,0,78,,,0,0,0,26,1,1,0,0,0,0,1.05,0.432,1.09,,3.42,38.75,64,,,Max Fried*,friedma01
4,172,17,Apr 15,NYY,,KCR,,,,5,6.2,5,2,2,2,7,1,0,1.88,2.73,27,94,60,16,9,6,12,4,1,0,61,,,0,0,0,25,2,0,0,0,0,0,0.88,0.04,0.92,,1.03,24.8,45,,,Max Fried*,friedma01
5,173,22,Apr 20,NYY,@,TBR,,,,4,7.2,2,0,0,2,2,0,1,1.42,2.98,27,102,64,17,3,13,9,3,3,0,75,,,0,0,1,24,0,0,0,1,0,2,1,0.416,1.21,,3.62,22.25,39,,,Max Fried*,friedma01
6,174,27,Apr 27(1),NYY,,TOR,,,,6,6,5,1,0,2,3,0,0,1.19,3,25,101,65,18,9,10,10,4,0,0,61,,,0,1,0,23,1,0,0,0,0,1,0.84,0.088,1.07,,1.97,19.3,37,,,Max Fried*,friedma01
,May,May,May,Tm,,Opp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Max Fried*,friedma01
7,175,32,May 2,NYY,,TBR,,,,4,7,1,0,0,2,6,0,1,1.01,2.95,24,92,61,18,10,10,5,1,2,0,79,,,0,0,1,21,0,0,0,1,0,1,0.94,0.372,1.22,,3.46,29.35,49,,,Max Fried*,friedma01
8,176,37,May 7,NYY,,SDP,,,,4,7,5,1,1,0,8,1,0,1.05,2.91,27,100,67,18,10,8,11,4,1,0,71,,,0,0,0,27,0,0,0,0,0,1,0.85,0.238,0.96,,2.46,26.75,46,,,Max Fried*,friedma01
9,177,42,May 13,NYY,@,SEA,,,,5,5,4,1,1,2,5,0,0,1.11,2.86,20,91,57,13,8,8,5,3,0,0,58,,,0,0,0,18,1,0,0,1,0,0,1.04,0.095,1.4,,1.23,15.65,27,,,Max Fried*,friedma01
,,,,,,,,,,4.6,56.2,40,12,7,13,52,3,4,1.11,2.86,228,869,,,,1.06,,,,0,64,,,2,2,3,211,6,1,0,3,0,9,0.89,1.699,1.01,,15.26,207.3,365,,,Max Fried*,friedma01
1,70,2,Mar 28,HOU,,NYM,,,,99,6,4,3,2,3,7,1,0,3,4.44,23,96,60,17,11,7,6,2,1,0,58,,,0,1,0,20,1,0,0,2,0,0,0.71,-0.078,0.69,,-0.12,19.3,37,,,Hunter Brown,brownhu01
2,71,7,Apr 3,HOU,@,MIN,,,,5,6,5,2,2,0,8,0,0,3,2.44,22,91,61,18,14,9,5,2,1,0,62,,,2,0,0,22,0,1,0,1,0,0,0.89,0.137,0.76,,1.02,26.5,46,,,Hunter Brown,brownhu01
3,72,12,Apr 9,HOU,@,SEA,,,,5,6,2,0,0,0,3,0,0,2,2.33,20,98,68,5,12,10,7,2,0,0,71,,,0,0,0,20,2,0,0,0,0,0,0.53,0.223,0.51,,2.67,18.3,31,,,Hunter Brown,brownhu01
4,73,17,Apr 15,HOU,@,STL,,,,5,6,4,0,0,2,4,0,0,1.5,2.44,22,97,57,24,8,8,8,1,2,0,66,,,2,0,0,20,1,0,0,2,0,0,1.28,0.369,1.1,,3.03,21.9,40,,,Hunter Brown,brownhu01
5,74,22,Apr 21,HOU,,TOR,,,,5,7,2,0,0,1,9,0,0,1.16,2.1,23,96,62,20,12,5,8,3,2,0,81,,,2,0,0,22,0,0,0,1,0,0,0.83,0.333,0.78,,3.36,35.95,58,,,Hunter Brown,brownhu01
6,75,27,Apr 27,HOU,@,KCR,,,,5,6,7,1,1,1,9,0,0,1.22,1.86,24,100,66,19,12,4,10,9,0,0,62,,,0,1,0,23,2,0,0,1,0,0,0.92,0.208,0.92,,2.02,28.7,52,,,Hunter Brown,brownhu01
,May,May,May,Tm,,Opp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hunter Brown,brownhu01
7,76,32,May 3,HOU,@,CHW,,,,5,6,4,3,3,3,9,0,0,1.67,1.82,24,98,60,15,13,5,7,3,2,0,58,,,0,0,0,21,0,0,0,1,0,0,0.96,-0.007,0.94,,-0.12,25.3,46,,,Hunter Brown,brownhu01
8,77,37,May 9,HOU,,CIN,,,,5,5.2,2,0,0,4,9,0,0,1.48,1.85,23,101,59,23,10,5,5,1,2,0,70,,,1,0,0,19,0,0,0,0,0,0,0.96,0.308,0.9,,2.66,31.15,50,,,Hunter Brown,brownhu01
,,,,,,,,,,5,48.2,30,9,8,14,58,1,0,1.48,1.85,181,777,,,,0.95,,,,0,66,,,7,2,0,167,6,1,0,8,0,0,0.89,1.493,0.83,,14.52,207.1,360,,,Hunter Brown,brownhu01
1,98,4,Mar 31,KCR,@,MIL,,,,99,6,3,0,0,2,8,0,1,0,1.94,24,95,65,18,14,7,6,2,3,0,72,,,0,0,0,21,0,0,0,0,0,0,0.81,0.245,0.7,,3.09,29.9,52,,,Kris Bubic*,bubickr01
2,99,9,Apr 6,KCR,,BAL,,,,5,6.2,4,1,0,1,8,0,0,0,1.52,25,99,68,20,15,5,11,4,3,0,71,,,0,0,0,24,0,0,0,1,0,1,0.7,0.219,0.63,,2.42,32,54,,,Kris Bubic*,bubickr01
3,100,14,Apr 11,KCR,@,CLE,,,,4,6,6,3,2,2,5,1,1,0.96,2.67,27,92,65,11,13,13,6,4,0,0,53,,,0,0,0,24,1,0,0,2,0,1,0.82,-0.096,0.9,,-0.07,14.1,31,,,Kris Bubic*,bubickr01
4,101,19,Apr 16,KCR,@,NYY,,,,4,5.1,7,3,3,4,6,0,0,1.88,2.77,27,94,61,19,13,6,11,6,1,0,44,,,0,0,0,23,3,0,1,0,0,0,1.27,-0.094,1.16,,-0.55,11.4,25,,,Kris Bubic*,bubickr01
5,102,24,Apr 22,KCR,,COL,,,,5,7,4,0,0,0,6,0,0,1.45,2.46,24,91,62,14,14,6,12,5,4,0,75,,,0,0,0,24,0,0,0,1,0,0,1.02,0.452,0.7,,3.52,25.35,43,,,Kris Bubic*,bubickr01
6,103,29,Apr 27,KCR,,HOU,,,,4,5,5,4,4,3,4,1,0,2.25,2.94,23,93,58,10,10,3,13,8,2,0,42,,,0,0,0,20,2,0,0,0,0,0,0.77,-0.182,0.77,,-1.48,6.45,15,,,Kris Bubic*,bubickr01
,May,May,May,Tm,,Opp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kris Bubic*,bubickr01
7,104,34,May 3,KCR,@,BAL,,,,5,5,4,0,0,1,3,0,0,1.98,2.88,19,72,52,16,5,9,6,2,1,0,61,,,0,0,0,18,0,0,0,1,0,0,1.04,0.275,1.09,,2.28,18.25,30,,,Kris Bubic*,bubickr01
8,105,39,May 8,KCR,,CHW,,,,4,7,6,0,0,1,7,0,0,1.69,2.69,25,93,65,15,16,9,8,4,0,0,71,,,0,0,0,24,2,0,0,3,0,0,1.01,0.316,1.17,,3.52,29.55,52,,,Kris Bubic*,bubickr01
9,106,44,May 13,KCR,@,HOU,,,,4,6.1,6,1,1,1,9,1,0,1.66,2.7,25,93,66,14,22,5,10,4,2,0,65,,,0,1,0,24,1,0,0,0,0,0,1.25,0.167,1.49,,1.85,26.05,47,,,Kris Bubic*,bubickr01
,,,,,,,,,,4.4,54.1,45,12,10,15,56,3,2,1.66,2.7,219,822,,,,0.76,,,,0,62,,,0,1,0,202,9,0,1,8,0,2,0.97,1.302,0.96,,14.59,193.05,349,,,Kris Bubic*,bubickr01
1,106,2,Mar 29,PHI,@,WSN,,,,99,5,5,2,2,2,11,1,0,3.6,2.5,22,95,63,20,15,5,4,1,1,0,58,,,2,0,0,20,1,0,0,0,0,0,0.91,0.037,0.95,,0.43,29.05,48,,,Jesús Luzardo*,luzarje01
2,107,7,Apr 4,PHI,,LAD,,,,5,7,2,0,0,2,8,0,0,1.5,2.02,24,95,59,16,12,6,8,1,0,0,79,,,2,1,1,22,1,0,0,0,0,0,1.27,0.464,1.36,,3.5,33.35,55,,,Jesús Luzardo*,luzarje01
3,108,12,Apr 10,PHI,@,ATL,,,,5,6,6,1,1,1,6,0,0,1.5,1.88,23,98,64,13,11,7,9,5,0,0,61,,,1,0,1,22,2,0,0,1,0,0,1.08,0.247,1.2,,2.07,19.3,37,,,Jesús Luzardo*,luzarje01
4,109,17,Apr 15,PHI,,SFG,,,,4,5.1,5,3,3,2,4,0,0,2.31,2.07,22,90,55,12,13,3,13,6,4,0,48,,,2,0,0,20,2,0,0,1,0,0,1.13,-0.011,1.17,,0.09,9.8,19,,,Jesús Luzardo*,luzarje01
5,110,22,Apr 20,PHI,,MIA,,,,4,7,8,2,1,0,7,0,0,2.08,1.85,29,88,61,13,16,12,10,6,0,0,62,,,1,1,0,28,2,0,0,0,1,1,1.05,0.211,1.18,,1.5,22.95,43,,,Jesús Luzardo*,luzarje01
6,111,27,Apr 26,PHI,@,CHC,,,,5,6,3,2,0,3,5,0,0,1.73,2.03,25,102,64,12,15,9,8,3,1,0,64,,,0,0,0,22,0,0,0,0,0,1,0.6,0.144,0.58,,0.94,23.9,43,,,Jesús Luzardo*,luzarje01
,May,May,May,Tm,,Opp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesús Luzardo*,luzarje01
7,112,32,May 2,PHI,,ARI,,,,5,5.1,9,2,2,1,6,0,0,1.94,1.95,25,95,63,18,14,12,6,2,1,0,47,,,1,0,0,24,2,0,0,1,0,0,1.34,-0.007,1.49,,0.48,14,28,,,Jesús Luzardo*,luzarje01
8,113,37,May 8,PHI,@,TBR,,,,5,5.1,6,2,2,2,4,1,0,2.11,2.32,22,105,64,17,11,2,14,7,1,0,50,,,1,2,1,19,0,0,0,0,1,0,0.95,-0.024,1.05,,-0.01,11.2,22,,,Jesús Luzardo*,luzarje01
,,,,,,,,,,4.7,47,44,14,11,13,51,2,0,2.11,2.32,192,768,,,,0.78,,,,0,59,,,10,4,3,177,10,0,0,3,2,2,1.05,1.061,1.13,,8.99,163.55,295,,,Jesús Luzardo*,luzarje01
1,82,4,Mar 30,ATH,@,SEA,,,,99,6.2,5,2,2,0,7,1,0,2.7,2.95,25,91,64,19,10,9,9,1,2,0,63,,,0,0,0,25,0,0,0,0,0,0,0.94,-0.034,0.98,,0.91,22,39,,,JP Sears*,searsjp01
2,83,9,Apr 5,ATH,@,COL,,,,5,6.1,6,3,3,2,2,1,0,3.46,4.18,26,87,53,14,11,10,12,4,0,0,49,,,0,0,0,24,2,0,0,1,0,0,0.75,-0.023,0.61,,-0.14,11.45,26,,,JP Sears*,searsjp01
3,84,14,Apr 11,ATH,,NYM,,,,5,4,6,3,3,1,7,1,1,4.24,4.22,21,101,64,15,11,3,9,3,1,0,44,,,1,0,0,19,3,0,0,0,0,1,1.09,-0.198,0.87,,-1.75,12.2,24,,,JP Sears*,searsjp01
4,85,19,Apr 17,ATH,@,CHW,,,,5,6,3,0,0,2,2,0,1,3.13,4.15,24,100,66,19,1,4,15,4,4,0,66,,,0,0,0,21,0,0,0,1,0,0,1.05,0.327,0.94,,2.88,17.9,34,,,JP Sears*,searsjp01
5,86,24,Apr 23,ATH,,TEX,,,,5,5,5,2,2,1,5,1,0,3.21,4.17,20,86,57,18,9,5,9,3,2,0,53,,,0,1,0,19,2,0,0,1,0,1,0.66,0.047,0.61,,0.35,17.65,30,,,JP Sears*,searsjp01
6,87,29,Apr 28,ATH,@,TEX,,,,4,5.2,5,1,1,0,7,0,0,2.94,3.58,22,89,62,19,6,4,11,2,2,0,62,,,0,0,0,22,1,0,0,0,0,0,1.07,0.182,1.15,,1.66,25.75,41,,,JP Sears*,searsjp01
,May,May,May,Tm,,Opp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JP Sears*,searsjp01
7,88,35,May 4,ATH,@,MIA,,,,5,6.1,4,2,2,0,2,0,0,2.93,3.4,23,80,60,18,5,14,7,5,0,0,59,,,1,0,0,23,1,0,0,0,0,0,1.02,0.167,1.08,,1.5,11.85,23,,,JP Sears*,searsjp01
8,89,40,May 10,ATH,,NYY,,,,5,5,4,1,1,1,4,1,1,2.8,3.61,20,82,50,16,7,2,12,4,1,0,58,,,0,0,0,18,0,0,0,0,0,0,0.96,0.177,1.01,,1.33,13.65,24,,,JP Sears*,searsjp01
,,,,,,,,,,4.9,45,38,14,14,7,36,5,3,2.8,3.61,181,716,,,,0.61,,,,0,57,,,2,1,0,171,9,0,0,3,0,2,0.94,0.645,0.9,,6.73,132.45,241,,,JP Sears*,searsjp01
1,73,1,Mar 27,CIN,,SFG,,,,99,5,3,2,2,1,8,1,0,3.6,3.1,19,84,59,16,14,2,8,0,3,0,60,,,0,0,0,18,0,0,0,0,0,0,0.91,0.107,0.9,,0.68,20.85,33,,,Hunter Greene,greenhu01
2,74,6,Apr 2,CIN,,TEX,,,,5,7,3,1,1,1,8,0,0,2.25,2.02,25,94,74,9,21,4,12,4,1,0,74,,,0,0,0,24,1,0,0,0,0,0,0.87,0.264,0.76,,2.75,27.35,46,,,Hunter Greene,greenhu01
3,75,11,Apr 7,CIN,@,SFG,,,,4,8.2,4,0,0,1,7,0,0,1.31,1.94,31,104,76,19,18,5,18,4,1,0,82,,,1,0,0,30,1,0,0,1,0,0,1.01,0.513,0.75,,3.81,34.5,57,,,Hunter Greene,greenhu01
4,76,16,Apr 13,CIN,,PIT,,,,5,7,2,0,0,1,8,0,0,0.98,1.77,24,98,71,20,13,4,11,4,1,0,80,,,1,0,0,23,1,1,0,0,0,0,0.88,0.345,0.79,,3.75,33.95,55,,,Hunter Greene,greenhu01
5,77,21,Apr 19,CIN,@,BAL,,,,5,3,6,5,5,2,4,3,2,2.35,3.3,19,77,48,10,9,3,8,3,0,0,29,,,0,0,0,15,2,0,0,0,0,0,0.95,-0.437,0.85,,-3.63,-1.25,6,,,Hunter Greene,greenhu01
6,78,27,Apr 26,CIN,@,COL,,,,6,6,7,3,3,0,8,2,0,2.7,3.54,25,98,67,13,18,8,9,1,2,0,54,,,1,0,0,25,0,0,0,0,0,0,1.19,0.038,1.08,,0.28,23.3,43,,,Hunter Greene,greenhu01
,May,May,May,Tm,,Opp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hunter Greene,greenhu01
7,79,33,May 2,CIN,,WSN,,,,5,6,2,1,1,2,12,1,0,2.53,3.36,22,114,83,14,18,3,5,2,1,0,74,,,1,0,0,20,0,0,0,0,0,0,0.63,0.203,0.65,,2.22,37.1,61,,,Hunter Greene,greenhu01
8,80,38,May 7,CIN,@,ATL,,,,4,3,2,0,0,0,6,0,0,2.36,3.08,11,53,38,5,16,3,2,2,0,0,61,,,0,0,0,11,0,0,0,0,0,0,1.14,0.152,0.98,,1.53,17.55,27,,,Hunter Greene,greenhu01
,,,,,,,,,,4.9,45.2,29,12,12,8,61,7,2,2.36,3.08,176,722,,,,0.44,,,,0,64,,,4,0,0,166,5,1,0,1,0,0,0.94,1.185,0.83,,11.38,193.35,328,,,Hunter Greene,greenhu01
1,295,1,Mar 27,TEX,,BOS,,,,99,6,3,2,2,0,9,1,0,3,2.27,21,87,60,12,15,7,5,2,0,0,67,,,0,0,0,21,0,0,0,0,0,0,0.95,0.087,0.91,,0.88,25.7,43,,,Nathan Eovaldi,eovalna01
2,296,6,Apr 1,TEX,@,CIN,,,,4,9,4,0,0,0,8,0,0,1.2,1.7,30,99,70,15,16,14,8,6,1,0,87,,,0,0,0,30,0,0,0,1,0,0,1.87,0.872,1.77,,4.82,42.85,61,,,Nathan Eovaldi,eovalna01
3,297,11,Apr 7,TEX,@,CHC,,,,5,4.2,4,3,3,2,4,0,2,2.29,2.24,22,87,56,13,11,8,6,2,0,0,46,,,4,0,0,16,1,1,0,1,1,0,0.89,-0.117,0.96,,-0.91,7.7,17,,,Nathan Eovaldi,eovalna01
4,298,16,Apr 13,TEX,@,SEA,,,,5,5,5,3,2,0,3,1,2,2.55,2.94,22,89,64,15,11,6,11,6,1,0,50,,,0,1,0,20,0,0,0,0,0,1,0.81,-0.185,0.96,,-2.59,9.05,18,,,Nathan Eovaldi,eovalna01
5,299,21,Apr 19,TEX,,LAD,,,,5,6,5,3,2,0,7,1,0,2.64,2.94,23,90,62,20,11,7,9,2,0,0,59,,,0,0,0,23,1,0,0,0,0,0,0.91,-0.063,1,,-0.12,20.5,37,,,Nathan Eovaldi,eovalna01
6,300,26,Apr 25,TEX,@,SFG,,,,5,6,3,0,0,1,7,0,0,2.21,2.67,22,99,61,20,9,6,8,3,0,0,72,,,0,0,0,21,0,0,0,0,0,0,1.06,0.363,1.13,,2.82,29.1,49,,,Nathan Eovaldi,eovalna01
7,301,31,Apr 30,TEX,,ATH,,,,4,6,6,1,1,0,8,0,0,2.11,2.35,23,92,61,14,16,7,8,6,0,0,64,,,0,0,0,23,1,0,0,1,0,0,1.12,0.215,1.26,,1.88,23.9,43,,,Nathan Eovaldi,eovalna01
,May,May,May,Tm,,Opp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nathan Eovaldi,eovalna01
8,302,36,May 6,TEX,@,BOS,,,,5,6,5,1,1,1,7,0,0,2.03,2.22,23,90,65,7,15,6,9,7,0,0,64,,,0,0,0,22,2,0,0,0,0,0,0.58,0.206,0.55,,2.11,25.9,46,,,Nathan Eovaldi,eovalna01
9,303,41,May 11,TEX,@,DET,,,,4,7,2,0,0,1,7,0,0,1.78,2.13,24,95,59,16,11,9,7,1,1,0,79,,,0,0,0,23,1,0,0,0,0,0,0.63,0.265,0.56,,3.42,31.95,52,,,Nathan Eovaldi,eovalna01
,,,,,,,,,,4.6,55.2,37,13,11,5,60,3,4,1.78,2.13,210,828,,,,0.99,,,,0,65,,,4,1,0,199,6,1,0,3,1,1,1.01,1.643,1.03,,12.32,216.65,366,,,Nathan Eovaldi,eovalna01
